"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","1746.0","514033.9260000002"
"CstoneAuditMessageBolt","102.0","87663.94499999999"
"DVMaxDataExtractorBolt","998.0","257981.22199999992"
"VitalSignBolt","21486.0","345515.275"
"CornerstoneDataExtractorBolt","70049.0","863980.5489999998"
"PracticePetOwnerBolt","9030.0","172872.01499999996"
"ExtractMessagePreProcessorBolt","71633.0","86397.13300000002"
"PracticePatientBolt","11649.0","172797.94699999996"
"EntityMapDiscriminatorBolt","569758.0","259181.7629999999"
"AvimarkDataExtractorBolt","559.0","258749.38400000002"
"FieldStandardizerBolt","1765898.0","345574.4319999999"
"PetOwnerPatientBolt","16328.0","345473.85400000005"
"MedicalNoteFileProcessorBolt","774.0","533100.169"
"ReminderTypeBolt","161.0","171230.19900000002"
"MedicalNoteBolt","756.0","180308.621"
"VaccinationPimsBolt","7004.0","345344.1320000001"
"CornerstoneEncryptedFileProcessorBolt","776.0","1412480.295"
"ProductBolt","4021.0","86404.05800000002"
"PracticeExtractMessageBolt","33088.0","86395.70799999998"
"SoftwareDiscriminatorBolt","71588.0","86303.412"
"HashWriterBolt","205844.0","259196.13999999996"
"PersistedMessageFilterBolt","2.338438872E9","2158947.5750000216"
"MedicalNoteAttachmentBolt","992.0","177847.21400000007"
"PracticeLogoFileProcessorBolt","5034.0","86329.91299999997"
"TransactionBolt","23688.0","2245500.6920000007"
"StaffMemberBolt","131.0","84586.88200000001"
"DataLimitingBolt","5.132234778E9","2159159.0230000042"
"ItemReminderTypeBolt","138.0","171137.75499999992"
"MedicalReminderBolt","19482.0","345677.1670000001"
"AppointmentBolt","22605.0","345610.8540000001"
"AmqpQueueWriterBolt","562508.0","2505127.881000001"
"PrescriptionBolt","19132.0","345619.4069999999"
"PracticeBolt","1166.0","86172.03600000002"
"LabResultHeaderBolt","15388.0","345488.16000000003"
"PersistenceRoutingBolt","1765905.0","691174.5739999999"
"FieldMapperBolt","1765906.0","259184.64200000002"
"PracticePatientImageBolt","1366.0","86189.31699999997"
