"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","2620.0","548745.5329999999"
"CstoneAuditMessageBolt","130.0","86798.32399999998"
"VitalSignBolt","22381.0","345427.6870000001"
"DVMaxDataExtractorBolt","1069.0","277646.545"
"CornerstoneDataExtractorBolt","70589.0","928751.36"
"PracticePetOwnerBolt","9915.0","172820.44700000001"
"PracticePatientBolt","12215.0","172773.196"
"ExtractMessagePreProcessorBolt","72270.0","92911.022"
"EntityMapDiscriminatorBolt","588452.0","259172.13300000006"
"AvimarkDataExtractorBolt","566.0","275965.376"
"FieldStandardizerBolt","1967836.0","345554.3770000001"
"PetOwnerPatientBolt","15894.0","345243.682"
"ReminderTypeBolt","159.0","172863.25000000003"
"MedicalNoteFileProcessorBolt","766.0","532850.242"
"MedicalNoteBolt","567.0","171783.12099999998"
"VaccinationPimsBolt","7180.0","345697.1100000001"
"CornerstoneEncryptedFileProcessorBolt","755.0","1405780.3460000004"
"ProductBolt","4092.0","86417.94499999998"
"SoftwareDiscriminatorBolt","72240.0","92893.098"
"PracticeExtractMessageBolt","32487.0","86393.35499999997"
"HashWriterBolt","212205.0","259172.36500000002"
"PersistedMessageFilterBolt","2.348452824E9","2322948.8309999066"
"MedicalNoteAttachmentBolt","735.0","170439.90299999996"
"PracticeLogoFileProcessorBolt","5077.0","92684.52699999999"
"TransactionBolt","25335.0","2246815.2760000005"
"StaffMemberBolt","120.0","86236.25400000002"
"DataLimitingBolt","5.174604031E9","2322998.056999929"
"ItemReminderTypeBolt","140.0","171525.93499999997"
"MedicalReminderBolt","20374.0","345542.6919999999"
"AppointmentBolt","23597.0","345604.288"
"PrescriptionBolt","19559.0","345549.44400000013"
"AmqpQueueWriterBolt","581758.0","2692943.9980000006"
"PracticeBolt","1079.0","86388.38100000001"
"LabResultHeaderBolt","16272.0","345455.238"
"PersistenceRoutingBolt","1967839.0","691123.0410000003"
"FieldMapperBolt","1967795.0","259154.37100000004"
"PracticePatientImageBolt","1262.0","86713.54999999999"
