"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","1832.0","554097.5160000001"
"CstoneAuditMessageBolt","124.0","82604.581"
"DVMaxDataExtractorBolt","1068.0","277130.114"
"VitalSignBolt","21340.0","344363.36999999994"
"CornerstoneDataExtractorBolt","70964.0","928943.962"
"PracticePetOwnerBolt","9367.0","173052.551"
"PracticePatientBolt","11469.0","172632.132"
"ExtractMessagePreProcessorBolt","72664.0","92950.11699999997"
"AvimarkDataExtractorBolt","580.0","275321.674"
"EntityMapDiscriminatorBolt","560602.0","259129.3070000001"
"FieldStandardizerBolt","1747946.0","345533.03599999996"
"PetOwnerPatientBolt","15046.0","345312.081"
"MedicalNoteFileProcessorBolt","940.0","514815.9799999999"
"ReminderTypeBolt","169.0","173840.93199999994"
"MedicalNoteBolt","544.0","167670.213"
"VaccinationPimsBolt","6374.0","345338.02400000003"
"CornerstoneEncryptedFileProcessorBolt","934.0","1348455.323"
"ProductBolt","4255.0","86483.02099999998"
"SoftwareDiscriminatorBolt","72631.0","92935.801"
"PracticeExtractMessageBolt","32751.0","86370.043"
"HashWriterBolt","202943.0","259098.75600000005"
"PersistedMessageFilterBolt","2.35994459E9","2323937.6499999235"
"MedicalNoteAttachmentBolt","800.0","164847.493"
"PracticeLogoFileProcessorBolt","5134.0","92747.38500000004"
"PracticeImageBolt","1.0","124394.225"
"TransactionBolt","22478.0","2244896.8259999994"
"StaffMemberBolt","102.0","85602.05"
"DataLimitingBolt","5.206350548E9","2324068.6799999517"
"ItemReminderTypeBolt","156.0","176086.58799999996"
"MedicalReminderBolt","19530.0","345537.55299999996"
"AppointmentBolt","22668.0","345559.83300000004"
"PrescriptionBolt","19537.0","345500.27700000006"
"AmqpQueueWriterBolt","557841.0","2693802.0689999997"
"PracticeBolt","1127.0","86347.70399999998"
"LabResultHeaderBolt","15222.0","345568.5789999999"
"PersistenceRoutingBolt","1748024.0","691068.0329999998"
"FieldMapperBolt","1748033.0","259163.22100000005"
"PracticePatientImageBolt","1161.0","86477.66700000002"
