"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","1742.0","545766.954"
"CstoneAuditMessageBolt","124.0","103205.811"
"DVMaxDataExtractorBolt","1018.0","259796.176"
"VitalSignBolt","23848.0","345497.747"
"CornerstoneDataExtractorBolt","67645.0","863950.7630000003"
"PracticePatientBolt","12833.0","172745.29299999998"
"ExtractMessagePreProcessorBolt","69230.0","86397.65499999998"
"PracticePetOwnerBolt","11048.0","173102.506"
"EntityMapDiscriminatorBolt","1786788.0","258911.9320000001"
"AvimarkDataExtractorBolt","550.0","259128.614"
"FieldStandardizerBolt","3674125.0","345095.90200000006"
"PetOwnerPatientBolt","21864.0","345926.67"
"MedicalNoteFileProcessorBolt","718.0","521658.8080000001"
"ReminderTypeBolt","161.0","186314.136"
"MedicalNoteBolt","689.0","174697.62000000002"
"VaccinationPimsBolt","11522.0","350346.755"
"CornerstoneEncryptedFileProcessorBolt","720.0","1415582.1689999995"
"ProductBolt","3866.0","86437.831"
"SoftwareDiscriminatorBolt","69228.0","86392.997"
"PracticeExtractMessageBolt","31804.0","86357.997"
"HashWriterBolt","211826.0","258890.18400000007"
"PersistedMessageFilterBolt","2.258629299E9","2159671.9599999287"
"MedicalNoteAttachmentBolt","857.0","169765.865"
"PracticeLogoFileProcessorBolt","4916.0","86400.84499999999"
"PracticeImageBolt","1.0","236717.418"
"TransactionBolt","27858.0","2250941.6649999996"
"StaffMemberBolt","162.0","88085.694"
"DataLimitingBolt","4.974813912E9","2159727.205999943"
"MedicalReminderBolt","28625.0","344984.16199999995"
"ItemReminderTypeBolt","150.0","180484.32299999997"
"AppointmentBolt","24588.0","345350.1109999999"
"PrescriptionBolt","21050.0","345946.215"
"AmqpQueueWriterBolt","613277.0","2505211.150000001"
"PracticeBolt","1056.0","87051.71399999999"
"LabResultHeaderBolt","15305.0","345353.74299999996"
"PersistenceRoutingBolt","3673906.0","690171.3529999998"
"FieldMapperBolt","3680608.0","258884.3760000001"
"PracticePatientImageBolt","1165.0","87962.075"
