"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","4362.0","517854.7520000002"
"CstoneAuditMessageBolt","124.0","86501.989"
"DVMaxDataExtractorBolt","913.0","258506.14400000003"
"VitalSignBolt","23556.0","345029.22199999983"
"CornerstoneDataExtractorBolt","68393.0","862720.1769999998"
"PracticePetOwnerBolt","10922.0","172907.15699999995"
"PracticePatientBolt","13791.0","172788.50499999998"
"ExtractMessagePreProcessorBolt","69854.0","86264.313"
"EntityMapDiscriminatorBolt","638394.0","258884.04300000006"
"AvimarkDataExtractorBolt","542.0","257426.92700000005"
"FieldStandardizerBolt","3263684.0","345144.33200000005"
"PetOwnerPatientBolt","17859.0","345511.4409999999"
"MedicalNoteFileProcessorBolt","704.0","527502.3850000001"
"ReminderTypeBolt","172.0","171819.92700000003"
"MedicalNoteBolt","546.0","175274.977"
"VaccinationPimsBolt","7983.0","345488.81000000006"
"CornerstoneEncryptedFileProcessorBolt","704.0","1402948.1440000003"
"ProductBolt","4154.0","86313.042"
"PracticeExtractMessageBolt","31949.0","86294.37200000002"
"SoftwareDiscriminatorBolt","69873.0","86283.06100000002"
"HashWriterBolt","233808.0","258895.166"
"PersistedMessageFilterBolt","2.265224019E9","2156740.2529999423"
"MedicalNoteAttachmentBolt","824.0","175307.66899999997"
"PracticeLogoFileProcessorBolt","4968.0","86271.812"
"PracticeImageBolt","1.0","95136.666"
"TransactionBolt","36879.0","2242329.8039999995"
"StaffMemberBolt","184.0","86342.85200000001"
"DataLimitingBolt","4.986663331E9","2156674.338999949"
"ItemReminderTypeBolt","165.0","172702.556"
"MedicalReminderBolt","21578.0","345305.605"
"AppointmentBolt","24575.0","344683.897"
"PrescriptionBolt","20908.0","344933.134"
"AmqpQueueWriterBolt","627316.0","2501812.362"
"PracticeBolt","1091.0","86766.05099999998"
"LabResultHeaderBolt","16816.0","345524.521"
"PersistenceRoutingBolt","3263551.0","690191.1370000005"
"FieldMapperBolt","3263577.0","258829.0070000001"
"PracticePatientImageBolt","1243.0","86434.25799999999"
