"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","3112.0","519172.035"
"CstoneAuditMessageBolt","69.0","85523.638"
"DVMaxDataExtractorBolt","999.0","259722.96100000004"
"VitalSignBolt","22652.0","345463.26900000003"
"CornerstoneDataExtractorBolt","68936.0","863689.295"
"PracticePetOwnerBolt","9057.0","172915.58000000002"
"ExtractMessagePreProcessorBolt","70492.0","86421.033"
"PracticePatientBolt","11226.0","172616.58199999997"
"EntityMapDiscriminatorBolt","566655.0","259257.46300000008"
"AvimarkDataExtractorBolt","548.0","258037.06000000008"
"FieldStandardizerBolt","1996905.0","345644.61000000004"
"PetOwnerPatientBolt","15322.0","345491.675"
"MedicalNoteFileProcessorBolt","692.0","535271.99"
"ReminderTypeBolt","138.0","171564.80799999993"
"MedicalNoteBolt","438.0","169221.74700000003"
"VaccinationPimsBolt","6833.0","345466.38700000005"
"CornerstoneEncryptedFileProcessorBolt","692.0","1447356.5159999998"
"ProductBolt","3866.0","86421.10599999999"
"PracticeExtractMessageBolt","32292.0","86442.18700000003"
"SoftwareDiscriminatorBolt","70488.0","86392.16800000003"
"HashWriterBolt","207479.0","259268.77099999998"
"PersistedMessageFilterBolt","2.286879932E9","2159718.5889999764"
"MedicalNoteAttachmentBolt","638.0","177902.97099999993"
"PracticeLogoFileProcessorBolt","5000.0","86314.94599999997"
"PracticeImageBolt","1.0","117094.776"
"TransactionBolt","26073.0","2245059.32"
"StaffMemberBolt","105.0","91783.81400000001"
"DataLimitingBolt","5.036681336E9","2159775.088999974"
"ItemReminderTypeBolt","146.0","172787.318"
"MedicalReminderBolt","20094.0","345205.07699999993"
"AppointmentBolt","23096.0","345624.347"
"AmqpQueueWriterBolt","551860.0","2505313.2570000016"
"PrescriptionBolt","19073.0","345649.5129999999"
"PracticeBolt","1044.0","86326.84"
"LabResultHeaderBolt","15150.0","345897.6979999999"
"FieldMapperBolt","1996969.0","259233.62100000013"
"PersistenceRoutingBolt","1996910.0","691325.2880000005"
"PracticePatientImageBolt","1177.0","86220.94"
