"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","2010.0","520092.084"
"CstoneAuditMessageBolt","89.0","86429.658"
"DVMaxDataExtractorBolt","994.0","259045.248"
"VitalSignBolt","21256.0","345483.79099999997"
"CornerstoneDataExtractorBolt","68786.0","863896.7180000002"
"PracticePatientBolt","12454.0","172826.276"
"PracticePetOwnerBolt","10057.0","172720.717"
"ExtractMessagePreProcessorBolt","70349.0","86383.46399999999"
"EntityMapDiscriminatorBolt","587673.0","259190.12900000007"
"AvimarkDataExtractorBolt","564.0","258317.92499999993"
"FieldStandardizerBolt","2170619.0","345576.95199999993"
"PetOwnerPatientBolt","15403.0","345480.1670000001"
"ReminderTypeBolt","154.0","179109.40499999997"
"MedicalNoteFileProcessorBolt","1320.0","526583.187"
"MedicalNoteBolt","484.0","176085.923"
"VaccinationPimsBolt","7438.0","345566.31899999996"
"CornerstoneEncryptedFileProcessorBolt","1320.0","1415400.9760000003"
"ProductBolt","4178.0","86385.42500000002"
"SoftwareDiscriminatorBolt","70350.0","86386.54100000001"
"PracticeExtractMessageBolt","32653.0","86395.919"
"HashWriterBolt","215725.0","259185.97399999996"
"PersistedMessageFilterBolt","2.290821265E9","2159276.690999939"
"MedicalNoteAttachmentBolt","565.0","175124.071"
"PracticeLogoFileProcessorBolt","4886.0","86326.70100000002"
"PracticeImageBolt","1.0","1172888.34"
"TransactionBolt","30721.0","2245124.444"
"StaffMemberBolt","119.0","85407.26000000002"
"DataLimitingBolt","5.048247302E9","2159433.174999941"
"ItemReminderTypeBolt","120.0","179520.46600000004"
"MedicalReminderBolt","20133.0","345585.608"
"AppointmentBolt","23347.0","345461.1539999999"
"PrescriptionBolt","18930.0","345485.74899999995"
"AmqpQueueWriterBolt","584012.0","2505192.66"
"PracticeBolt","1198.0","86518.78099999999"
"LabResultHeaderBolt","16060.0","345515.267"
"PersistenceRoutingBolt","2170656.0","691198.3130000002"
"FieldMapperBolt","2170632.0","259188.52300000004"
"PracticePatientImageBolt","1352.0","86608.841"
