"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","3052.0","544993.066"
"CstoneAuditMessageBolt","87.0","86808.34700000002"
"VitalSignBolt","21980.0","345633.0850000001"
"DVMaxDataExtractorBolt","1053.0","278628.10899999994"
"CornerstoneDataExtractorBolt","69075.0","929527.767"
"PracticePatientBolt","13612.0","172795.853"
"ExtractMessagePreProcessorBolt","70722.0","92981.28800000003"
"PracticePetOwnerBolt","10073.0","172688.451"
"EntityMapDiscriminatorBolt","628764.0","259232.4049999999"
"AvimarkDataExtractorBolt","567.0","275143.65299999993"
"FieldStandardizerBolt","3028611.0","345620.315"
"PetOwnerPatientBolt","17844.0","345514.73800000007"
"ReminderTypeBolt","164.0","170132.38499999992"
"MedicalNoteFileProcessorBolt","700.0","554211.0839999999"
"MedicalNoteBolt","614.0","174783.21800000002"
"VaccinationPimsBolt","8242.0","345535.6340000001"
"CornerstoneEncryptedFileProcessorBolt","689.0","1473627.3360000004"
"ProductBolt","4272.0","86244.73900000003"
"SoftwareDiscriminatorBolt","70679.0","92915.521"
"PracticeExtractMessageBolt","31621.0","86410.20200000002"
"HashWriterBolt","222966.0","259207.24499999994"
"PersistedMessageFilterBolt","2.31410333E9","2323738.5869999053"
"PracticeLogoFileProcessorBolt","5007.0","92826.29500000001"
"MedicalNoteAttachmentBolt","793.0","175062.80800000002"
"PracticeImageBolt","1.0","130807.536"
"TransactionBolt","33795.0","2245940.862"
"StaffMemberBolt","146.0","86390.79400000001"
"DataLimitingBolt","5.103669557E9","2323878.86899993"
"MedicalReminderBolt","19818.0","345499.0000000001"
"ItemReminderTypeBolt","146.0","173194.71100000007"
"AppointmentBolt","22543.0","345601.128"
"PrescriptionBolt","20026.0","345628.543"
"AmqpQueueWriterBolt","619874.0","2695187.227999998"
"PracticeBolt","1069.0","86432.71200000001"
"LabResultHeaderBolt","16259.0","345410.58300000004"
"FieldMapperBolt","3028557.0","259213.43600000002"
"PersistenceRoutingBolt","3028581.0","691232.7260000001"
"PracticePatientImageBolt","1304.0","85936.079"
