"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","1144.0","518827.87899999996"
"CstoneAuditMessageBolt","40.0","84238.74200000001"
"VitalSignBolt","17396.0","346009.4050000002"
"DVMaxDataExtractorBolt","953.0","259269.60000000003"
"CornerstoneDataExtractorBolt","67935.0","865603.2419999994"
"PracticePatientBolt","7038.0","172641.9060000001"
"ExtractMessagePreProcessorBolt","69467.0","86428.42899999999"
"PracticePetOwnerBolt","6120.0","172422.554"
"AvimarkDataExtractorBolt","540.0","259252.93300000008"
"EntityMapDiscriminatorBolt","412077.0","259287.189"
"FieldStandardizerBolt","1331529.0","345717.452"
"PetOwnerPatientBolt","12666.0","345807.297"
"MedicalNoteFileProcessorBolt","404.0","527504.75"
"ReminderTypeBolt","51.0","174732.94100000002"
"MedicalNoteBolt","267.0","178597.039"
"VaccinationPimsBolt","4665.0","345324.1730000001"
"CornerstoneEncryptedFileProcessorBolt","420.0","1432281.8199999998"
"ProductBolt","1968.0","85856.041"
"SoftwareDiscriminatorBolt","69437.0","86418.582"
"PracticeExtractMessageBolt","32462.0","86478.31099999997"
"HashWriterBolt","158240.0","259292.78500000003"
"PersistedMessageFilterBolt","2.263903145E9","2159760.6149999625"
"MedicalNoteAttachmentBolt","350.0","180654.57299999995"
"PracticeLogoFileProcessorBolt","4948.0","86510.48100000001"
"TransactionBolt","17583.0","2243498.3220000006"
"StaffMemberBolt","35.0","84856.62799999998"
"DataLimitingBolt","4.980706426E9","2159778.0839999695"
"ItemReminderTypeBolt","42.0","165810.663"
"MedicalReminderBolt","14937.0","345581.52999999985"
"AppointmentBolt","15969.0","345586.45800000004"
"PrescriptionBolt","13582.0","345631.48099999997"
"AmqpQueueWriterBolt","410207.0","2506946.5130000007"
"PracticeBolt","661.0","86280.67500000002"
"LabResultHeaderBolt","12230.0","346036.40099999995"
"FieldMapperBolt","1331532.0","259315.93700000003"
"PersistenceRoutingBolt","1331535.0","691557.9850000001"
"PracticePatientImageBolt","913.0","86273.33399999999"
