"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","264.0","531327.251"
"CstoneAuditMessageBolt","8.0","84539.336"
"DVMaxDataExtractorBolt","1001.0","259262.59400000004"
"VitalSignBolt","8832.0","345480.4919999999"
"CornerstoneDataExtractorBolt","67653.0","864205.2799999998"
"PracticePetOwnerBolt","2328.0","172864.52999999988"
"PracticePatientBolt","2361.0","172507.00199999998"
"ExtractMessagePreProcessorBolt","69198.0","86394.334"
"EntityMapDiscriminatorBolt","208742.0","259202.83500000008"
"AvimarkDataExtractorBolt","553.0","260746.85399999996"
"FieldStandardizerBolt","1009892.0","345553.6479999999"
"PetOwnerPatientBolt","8746.0","345989.16000000015"
"ReminderTypeBolt","15.0","187883.30399999997"
"MedicalNoteFileProcessorBolt","82.0","539226.342"
"MedicalNoteBolt","112.0","169908.97100000002"
"VaccinationPimsBolt","587.0","341429.24399999995"
"CornerstoneEncryptedFileProcessorBolt","86.0","1332482.897"
"ProductBolt","421.0","86286.74099999995"
"SoftwareDiscriminatorBolt","69234.0","86415.20500000002"
"PracticeExtractMessageBolt","32748.0","86415.448"
"HashWriterBolt","88310.0","259237.40400000018"
"PersistedMessageFilterBolt","2.313640533E9","2160029.0130000045"
"MedicalNoteAttachmentBolt","42.0","167833.67200000002"
"PracticeLogoFileProcessorBolt","4968.0","86386.003"
"TransactionBolt","6109.0","2246399.787"
"StaffMemberBolt","6.0","94533.046"
"DataLimitingBolt","5.086032975E9","2160189.167999986"
"ItemReminderTypeBolt","13.0","174877.908"
"MedicalReminderBolt","8889.0","345525.98399999994"
"AppointmentBolt","6276.0","345727.076"
"AmqpQueueWriterBolt","208070.0","2505914.402"
"PrescriptionBolt","3641.0","345425.1080000001"
"PracticeBolt","119.0","86476.112"
"LabResultHeaderBolt","7018.0","344959.5370000002"
"FieldMapperBolt","1009860.0","259185.616"
"PersistenceRoutingBolt","1009886.0","691164.101"
"PracticePatientImageBolt","271.0","86502.008"
