"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","6382.0","517461.21799999994"
"CstoneAuditMessageBolt","132.0","87490.90500000001"
"VitalSignBolt","22653.0","345778.477"
"DVMaxDataExtractorBolt","929.0","259243.40499999994"
"CornerstoneDataExtractorBolt","68354.0","864137.7080000001"
"PracticePetOwnerBolt","12033.0","172604.43500000003"
"ExtractMessagePreProcessorBolt","69838.0","86393.31999999998"
"PracticePatientBolt","13981.0","172871.718"
"EntityMapDiscriminatorBolt","650312.0","259181.60100000008"
"AvimarkDataExtractorBolt","550.0","259225.27899999995"
"FieldStandardizerBolt","3498413.0","345565.5650000002"
"PetOwnerPatientBolt","19199.0","345780.2860000002"
"MedicalNoteFileProcessorBolt","576.0","495268.9950000001"
"ReminderTypeBolt","177.0","171102.21100000004"
"MedicalNoteBolt","473.0","173375.63000000003"
"VaccinationPimsBolt","9050.0","345597.33200000005"
"CornerstoneEncryptedFileProcessorBolt","574.0","1307017.745"
"ProductBolt","4335.0","86294.121"
"PracticeExtractMessageBolt","31502.0","86403.26500000001"
"SoftwareDiscriminatorBolt","69830.0","86389.674"
"HashWriterBolt","234149.0","259188.809"
"PersistedMessageFilterBolt","2.282172265E9","2159626.639999953"
"MedicalNoteAttachmentBolt","651.0","163928.14300000004"
"PracticeLogoFileProcessorBolt","5000.0","86442.38300000002"
"PracticeImageBolt","1.0","149447.647"
"TransactionBolt","34859.0","2246148.9679999994"
"StaffMemberBolt","177.0","81327.572"
"DataLimitingBolt","5.026609224E9","2159710.956999957"
"ItemReminderTypeBolt","167.0","171421.29600000003"
"MedicalReminderBolt","20759.0","345766.86999999994"
"AppointmentBolt","25140.0","345415.456"
"AmqpQueueWriterBolt","644439.0","2505519.5679999995"
"PrescriptionBolt","19783.0","345657.6009999999"
"PracticeBolt","1056.0","86396.34500000002"
"LabResultHeaderBolt","17844.0","345493.61000000004"
"PersistenceRoutingBolt","3498365.0","691109.1610000005"
"FieldMapperBolt","3498328.0","259165.01399999997"
"PracticePatientImageBolt","1335.0","86397.86300000001"
