"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","13012.0","519666.59299999994"
"CstoneAuditMessageBolt","115.0","86584.98400000003"
"DVMaxDataExtractorBolt","878.0","259710.93699999995"
"VitalSignBolt","21526.0","345534.22299999994"
"CornerstoneDataExtractorBolt","68247.0","863939.8089999997"
"PracticePetOwnerBolt","9965.0","172865.985"
"ExtractMessagePreProcessorBolt","69691.0","86393.99999999999"
"PracticePatientBolt","12469.0","172677.83800000002"
"EntityMapDiscriminatorBolt","565731.0","259182.96500000005"
"AvimarkDataExtractorBolt","554.0","260414.87300000005"
"FieldStandardizerBolt","2165089.0","345578.79800000007"
"PetOwnerPatientBolt","16707.0","345478.57600000006"
"ReminderTypeBolt","191.0","177800.857"
"MedicalNoteFileProcessorBolt","632.0","512301.76700000005"
"MedicalNoteBolt","642.0","170848.70600000006"
"VaccinationPimsBolt","7412.0","345395.5839999999"
"CornerstoneEncryptedFileProcessorBolt","632.0","1370547.435"
"ProductBolt","3830.0","86404.799"
"PracticeExtractMessageBolt","32070.0","86399.35299999999"
"SoftwareDiscriminatorBolt","69642.0","86367.566"
"HashWriterBolt","209433.0","259188.49000000014"
"PersistedMessageFilterBolt","2.268030516E9","2159693.9329999667"
"MedicalNoteAttachmentBolt","791.0","170868.08099999995"
"PracticeLogoFileProcessorBolt","4972.0","86349.42400000001"
"TransactionBolt","25859.0","2246284.4309999994"
"StaffMemberBolt","100.0","87240.42299999998"
"DataLimitingBolt","5.001483676E9","2159764.996999963"
"MedicalReminderBolt","20035.0","345390.55500000005"
"ItemReminderTypeBolt","136.0","179535.819"
"AppointmentBolt","22468.0","345759.49899999995"
"PrescriptionBolt","18684.0","345558.955"
"AmqpQueueWriterBolt","562868.0","2505304.6160000013"
"PracticeBolt","1018.0","86349.53900000002"
"LabResultHeaderBolt","15511.0","345460.3079999999"
"FieldMapperBolt","2163514.0","259182.98100000012"
"PersistenceRoutingBolt","2165120.0","691171.6170000001"
"PracticePatientImageBolt","1280.0","86714.861"
