"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","3396.0","635392.0060000002"
"CstoneAuditMessageBolt","116.0","86642.13900000002"
"DVMaxDataExtractorBolt","1002.0","352474.3609999999"
"VitalSignBolt","21846.0","345666.8399999999"
"CornerstoneDataExtractorBolt","71347.0","1199710.8890000004"
"PracticePetOwnerBolt","9521.0","172417.72400000005"
"ExtractMessagePreProcessorBolt","72973.0","120070.284"
"PracticePatientBolt","11465.0","172805.913"
"EntityMapDiscriminatorBolt","582914.0","259198.58299999998"
"AvimarkDataExtractorBolt","589.0","350491.75799999986"
"FieldStandardizerBolt","1921343.0","345604.85099999997"
"PetOwnerPatientBolt","14702.0","345843.3059999999"
"ReminderTypeBolt","147.0","171543.87499999994"
"MedicalNoteFileProcessorBolt","942.0","575584.808"
"MedicalNoteBolt","421.0","174864.523"
"VaccinationPimsBolt","6224.0","345661.0520000001"
"CornerstoneEncryptedFileProcessorBolt","937.0","1379544.425"
"ProductBolt","4397.0","86455.43300000002"
"PracticeExtractMessageBolt","32453.0","86392.97"
"SoftwareDiscriminatorBolt","72957.0","119530.75500000002"
"PersistedMessageFilterBolt","2.378898487E9","3000714.707999883"
"HashWriterBolt","210966.0","259199.367"
"MedicalNoteAttachmentBolt","584.0","175312.39600000004"
"PracticeLogoFileProcessorBolt","5096.0","119842.939"
"TransactionBolt","28306.0","2248131.6850000005"
"StaffMemberBolt","103.0","86486.60900000001"
"DataLimitingBolt","5.249125363E9","3000933.0459998953"
"ItemReminderTypeBolt","125.0","169117.17299999995"
"MedicalReminderBolt","21030.0","345597.828"
"AppointmentBolt","23257.0","345609.864"
"AmqpQueueWriterBolt","579854.0","3476004.229000001"
"PrescriptionBolt","19273.0","345394.6859999999"
"PracticeBolt","1166.0","86366.50100000003"
"LabResultHeaderBolt","15523.0","345719.91500000004"
"PersistenceRoutingBolt","1921348.0","691215.2079999998"
"FieldMapperBolt","1921340.0","259196.72499999998"
"PracticePatientImageBolt","1274.0","86395.17199999999"
