"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","206.0","493926.0050000002"
"CstoneAuditMessageBolt","44.0","85980.88299999999"
"VitalSignBolt","9034.0","345183.5540000001"
"DVMaxDataExtractorBolt","953.0","258808.985"
"CornerstoneDataExtractorBolt","64896.0","861029.0169999999"
"PracticePatientBolt","2213.0","172501.106"
"PracticePetOwnerBolt","2604.0","171554.32499999992"
"ExtractMessagePreProcessorBolt","66382.0","86100.55900000001"
"EntityMapDiscriminatorBolt","225617.0","258177.47500000006"
"AvimarkDataExtractorBolt","520.0","257919.792"
"FieldStandardizerBolt","1118019.0","344185.634"
"PetOwnerPatientBolt","8778.0","345364.874"
"MedicalNoteFileProcessorBolt","170.0","505633.459"
"ReminderTypeBolt","8.0","158985.089"
"VaccinationPimsBolt","597.0","341151.6610000001"
"MedicalNoteBolt","272.0","165726.93399999998"
"CornerstoneEncryptedFileProcessorBolt","168.0","1348678.6000000003"
"ProductBolt","436.0","86558.97"
"SoftwareDiscriminatorBolt","66348.0","86066.62599999999"
"PracticeExtractMessageBolt","31899.0","86071.98700000001"
"HashWriterBolt","88046.0","258168.39"
"PersistedMessageFilterBolt","2.21363071E9","2151797.3989999495"
"MedicalNoteAttachmentBolt","207.0","161273.78999999998"
"PracticeLogoFileProcessorBolt","4834.0","86149.00700000001"
"TransactionBolt","5602.0","2240939.523"
"StaffMemberBolt","24.0","76472.923"
"DataLimitingBolt","4.867478629E9","2151858.817999961"
"ItemReminderTypeBolt","27.0","155782.071"
"MedicalReminderBolt","10245.0","344865.8610000001"
"AppointmentBolt","6070.0","345623.58300000004"
"AmqpQueueWriterBolt","224680.0","2497158.874"
"PrescriptionBolt","3449.0","345707.1510000002"
"PracticeBolt","135.0","85814.222"
"LabResultHeaderBolt","6654.0","343850.723"
"PersistenceRoutingBolt","1118016.0","688366.4790000002"
"FieldMapperBolt","1118168.0","258103.40099999998"
"PracticePatientImageBolt","209.0","85807.797"
