"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","1254.0","554044.4729999999"
"CstoneAuditMessageBolt","24.0","76275.03600000001"
"VitalSignBolt","16886.0","345673.64499999996"
"DVMaxDataExtractorBolt","1057.0","277658.211"
"CornerstoneDataExtractorBolt","70155.0","928729.6560000003"
"PracticePatientBolt","6837.0","172773.902"
"PracticePetOwnerBolt","5355.0","172681.39600000004"
"ExtractMessagePreProcessorBolt","71794.0","92910.747"
"AvimarkDataExtractorBolt","559.0","277146.91300000006"
"EntityMapDiscriminatorBolt","401640.0","259195.85300000003"
"FieldStandardizerBolt","1270733.0","345584.729"
"PetOwnerPatientBolt","12126.0","345653.88200000004"
"MedicalNoteFileProcessorBolt","538.0","516491.37699999986"
"ReminderTypeBolt","57.0","162936.20900000003"
"MedicalNoteBolt","521.0","167947.78900000002"
"VaccinationPimsBolt","4619.0","344669.8160000001"
"CornerstoneEncryptedFileProcessorBolt","524.0","1302856.047"
"ProductBolt","1961.0","86319.87400000001"
"PracticeExtractMessageBolt","32516.0","86404.23800000001"
"SoftwareDiscriminatorBolt","71790.0","92904.44600000003"
"HashWriterBolt","154621.0","259198.07100000008"
"PersistedMessageFilterBolt","2.344096642E9","2322648.604999924"
"MedicalNoteAttachmentBolt","575.0","170055.23099999997"
"PracticeLogoFileProcessorBolt","5083.0","92794.56800000001"
"TransactionBolt","17069.0","2246827.3740000003"
"StaffMemberBolt","27.0","88998.119"
"DataLimitingBolt","5.163272112E9","2322768.8479999416"
"ItemReminderTypeBolt","58.0","163027.763"
"MedicalReminderBolt","14596.0","345539.254"
"AppointmentBolt","15837.0","345659.436"
"PrescriptionBolt","13388.0","345756.29400000005"
"AmqpQueueWriterBolt","399847.0","2693205.4330000007"
"PracticeBolt","769.0","86314.06299999998"
"LabResultHeaderBolt","11644.0","345978.66799999995"
"PersistenceRoutingBolt","1270719.0","691138.9899999999"
"FieldMapperBolt","1270724.0","259186.35899999994"
"PracticePatientImageBolt","878.0","86360.82400000001"
