"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","1738.0","516368.2780000001"
"CstoneAuditMessageBolt","109.0","91177.076"
"VitalSignBolt","20927.0","345702.3409999999"
"DVMaxDataExtractorBolt","1019.0","259585.017"
"CornerstoneDataExtractorBolt","68497.0","863789.0909999998"
"PracticePetOwnerBolt","10771.0","172681.94100000005"
"ExtractMessagePreProcessorBolt","70085.0","86381.47000000002"
"PracticePatientBolt","12300.0","173174.782"
"AvimarkDataExtractorBolt","566.0","258351.04700000005"
"EntityMapDiscriminatorBolt","605967.0","259130.733"
"FieldStandardizerBolt","2117280.0","345492.272"
"PetOwnerPatientBolt","16883.0","345441.19399999984"
"MedicalNoteFileProcessorBolt","700.0","534463.99"
"ReminderTypeBolt","148.0","178108.973"
"MedicalNoteBolt","409.0","174212.05299999996"
"VaccinationPimsBolt","6389.0","349966.31599999993"
"CornerstoneEncryptedFileProcessorBolt","706.0","1578029.1110000003"
"ProductBolt","3753.0","86508.56899999997"
"SoftwareDiscriminatorBolt","70077.0","86369.30299999999"
"PracticeExtractMessageBolt","32695.0","86388.03300000002"
"HashWriterBolt","210278.0","259101.284"
"PersistedMessageFilterBolt","2.294582608E9","2159206.4429999585"
"MedicalNoteAttachmentBolt","639.0","179131.58099999992"
"PracticeLogoFileProcessorBolt","4920.0","86426.52999999998"
"TransactionBolt","26273.0","2249718.864"
"StaffMemberBolt","165.0","99037.967"
"DataLimitingBolt","5.057782376E9","2159266.564999959"
"MedicalReminderBolt","23882.0","346146.32500000007"
"ItemReminderTypeBolt","125.0","185876.031"
"AppointmentBolt","22459.0","345785.38899999997"
"PrescriptionBolt","18226.0","345871.1089999999"
"AmqpQueueWriterBolt","603475.0","2505429.1640000003"
"PracticeBolt","1082.0","86067.16499999998"
"LabResultHeaderBolt","12852.0","346068.9370000001"
"FieldMapperBolt","2116077.0","259097.66200000016"
"PersistenceRoutingBolt","2117015.0","691008.5499999999"
"PracticePatientImageBolt","1287.0","86273.56599999998"
