"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","1686.0","522832.531"
"CstoneAuditMessageBolt","107.0","87273.42"
"VitalSignBolt","20780.0","345743.02"
"DVMaxDataExtractorBolt","1029.0","289435.9489999999"
"CornerstoneDataExtractorBolt","71924.0","984278.7169999997"
"PracticePatientBolt","11421.0","172836.229"
"ExtractMessagePreProcessorBolt","73602.0","98451.581"
"PracticePetOwnerBolt","9085.0","172935.38600000003"
"EntityMapDiscriminatorBolt","552331.0","259214.159"
"AvimarkDataExtractorBolt","599.0","289683.77200000006"
"FieldStandardizerBolt","1561719.0","345613.67200000014"
"PetOwnerPatientBolt","14387.0","345344.689"
"ReminderTypeBolt","121.0","174140.01200000002"
"MedicalNoteFileProcessorBolt","810.0","513465.289"
"MedicalNoteBolt","795.0","171228.93599999996"
"VaccinationPimsBolt","6127.0","345111.483"
"CornerstoneEncryptedFileProcessorBolt","777.0","1186541.634"
"ProductBolt","4202.0","86445.82600000002"
"SoftwareDiscriminatorBolt","73573.0","98496.882"
"PracticeExtractMessageBolt","32877.0","86413.40399999998"
"PersistedMessageFilterBolt","2.406078433E9","2462703.446999897"
"HashWriterBolt","201207.0","259233.6320000001"
"MedicalNoteAttachmentBolt","897.0","171605.43299999993"
"PracticeLogoFileProcessorBolt","5154.0","97933.501"
"PracticeImageBolt","1.0","106552.416"
"TransactionBolt","22533.0","2245204.3320000004"
"StaffMemberBolt","107.0","86680.70899999999"
"DataLimitingBolt","5.310421041E9","2462952.8709999295"
"ItemReminderTypeBolt","103.0","173699.40799999997"
"MedicalReminderBolt","20544.0","345639.33100000006"
"AppointmentBolt","22827.0","345465.85400000005"
"PrescriptionBolt","18278.0","345484.888"
"AmqpQueueWriterBolt","549501.0","2848957.8659999985"
"PracticeBolt","1077.0","86396.54900000003"
"LabResultHeaderBolt","15405.0","345658.47"
"FieldMapperBolt","1561779.0","259210.1520000001"
"PersistenceRoutingBolt","1561820.0","691258.3539999998"
"PracticePatientImageBolt","1022.0","86435.73800000003"
