"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","1011.0","542221.4429999999"
"CstoneAuditMessageBolt","33.0","85875.82800000001"
"VitalSignBolt","17206.0","345570.1230000001"
"DVMaxDataExtractorBolt","1037.0","302380.687"
"CornerstoneDataExtractorBolt","69549.0","1016224.332"
"PracticePatientBolt","7093.0","172702.286"
"ExtractMessagePreProcessorBolt","71177.0","101677.374"
"PracticePetOwnerBolt","5575.0","172429.40800000002"
"AvimarkDataExtractorBolt","572.0","295661.48399999994"
"EntityMapDiscriminatorBolt","413895.0","259186.85100000002"
"FieldStandardizerBolt","1317012.0","345567.28900000005"
"PetOwnerPatientBolt","12426.0","345151.4169999999"
"ReminderTypeBolt","53.0","161212.84599999996"
"MedicalNoteFileProcessorBolt","1626.0","533478.7529999999"
"MedicalNoteBolt","352.0","169401.557"
"VaccinationPimsBolt","4674.0","345332.48"
"CornerstoneEncryptedFileProcessorBolt","1620.0","1390108.1959999998"
"ProductBolt","2069.0","86101.52"
"SoftwareDiscriminatorBolt","71188.0","101639.01"
"PracticeExtractMessageBolt","32848.0","86395.144"
"HashWriterBolt","160204.0","259190.37100000004"
"PersistedMessageFilterBolt","2.331669127E9","2541756.1969998777"
"MedicalNoteAttachmentBolt","385.0","165088.365"
"PracticeLogoFileProcessorBolt","5014.0","101102.463"
"TransactionBolt","18504.0","2243345.5060000005"
"StaffMemberBolt","21.0","74185.349"
"DataLimitingBolt","5.14245604E9","2541866.612999901"
"ItemReminderTypeBolt","68.0","168297.294"
"MedicalReminderBolt","15166.0","345128.00899999996"
"AppointmentBolt","16376.0","345289.788"
"AmqpQueueWriterBolt","412295.0","2941613.8520000014"
"PrescriptionBolt","13567.0","345541.8829999999"
"PracticeBolt","833.0","86500.98699999998"
"LabResultHeaderBolt","12863.0","345435.069"
"PersistenceRoutingBolt","1317008.0","691113.19"
"FieldMapperBolt","1317021.0","259193.08500000002"
"PracticePatientImageBolt","802.0","87122.046"
